Species,del_H,del_O,Month
AS,-48.76,-6.53,10
QR,-47.95,-6.89,10
QP,-48.66,-7.21,10
AS,-48.38,-7.65,10
QP,-44.54,-7.07,10
QP,-52.41,-7.52,10
AS,-50.33,-7.12,10
AS,-38.1,-5.46,10
AS,-44.33,-6.48,10
QR,-51.66,-7.58,10
QR,-44.78,-7.21,10
AS,-46.72,-7.2,10
QP,-47.58,-6.99,10
QP,-39.56,-6.25,10
QP,-40.17,-6.04,10
AS,-51.53,-7.19,10
QP,-49.98,-7.83,10
QR,-52.19,-7.49,10
AS,-34.16,-7.08,10
QR,-41.61,-6.08,10
QR,-45.75,-6.41,10
QR,-38.94,-6.16,10
AS,-64.76,-8.4,10
AS,-57.66,-7.64,10
QP,-52.97,-7.47,10
QP,-61.74,-8.7,10
QR,-64.61,-9.18,10
AS,-64.16,-9.14,10
QR,-60.99,-8.33,10
AS,-56.07,-8.15,10
QP,-61.43,-8.45,10
QP,-58.31,-8.11,10
QR,-57.75,-7.9,10
QR,-62.16,-8.19,10
QP,-63,-8.48,10
AS,-60.1,-8.51,10
AS,-56.35,-7.72,10
QR,-59.1,-8.17,10
QP,-62.65,-8.99,10
QR,-60.45,-8.31,10
QR,-52.05,-8.24,10
AS,-61.04,-8.53,10
QR,-52.03,-7.15,10
AS,-55.74,-9.55,10
QR,-28.22,-5,10
AS,-35.6,-4.79,10
QR,-35.94,-4.83,10
AS,-32.86,-4.11,10
QR,-35.51,-4.8,10
AS,-34.83,-3.88,10
AS,-30.17,-4.49,10
QP,-36.45,-4.54,10
QR,-31.27,-4.68,10
QP,-35.71,-4.17,10
AS,-34.38,-4.66,10
QP,-29.46,-4.59,10
AS,-41.33,-6.4,10
AS,-54.47,-8.89,10
QP,-46.92,-7.64,10
QR,-50.99,-7.65,10
AS,-28.26,-4.45,10
QR,-37.62,-4.39,10
QP,-32.32,-4.54,10
QP,-33.43,-4.44,10
QR,-43.23,-5.48,10
AS,-36.83,-5.39,10
QP,-37.23,-4.32,10
QP,-34.14,-4.12,10
AS,-42.5,-5.42,10
AS,-55.29,-7.20,11
AS,-49.15,-6.63,11
QP,-53.70,-7.13,11
QR,-47.78,-7.04,11
QP,-31.61,-3.95,11
QP,-52.13,-7.27,11
AS,-51.43,-6.64,11
AS,-56.06,-7.68,11
AS,-54.68,-7.53,11
QR,-48.61,-7.39,11
QR,-54.27,-7.40,11
AS,-52.17,-7.06,11
QP,-58.66,-7.75,11
QP,-53.52,-6.84,11
AS,-46.39,-5.18,11
QP,-50.72,-6.96,11
QR,-52.68,-7.45,11
QR,-52.54,-7.31,11
AS,-43.24,-6.09,11
AS,-49.63,-6.88,11
QR,-50.01,-7.13,11
QR,-31.73,-6.70,11
QP,-60.36,-9.26,11
QP,-60.79,-8.38,11
